,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Cost Matrix(Risk)
380,<0 DM,20,existing credits paid back duly till now,furniture/equipment,2212,no savings account,4<= <7 years,4,male:single,none,4,car or other,39,none,own,1,skilled employee / official,1,yes,yes,Good Risk
381,0 <= <200 DM,18,existing credits paid back duly till now,car (used),12976,<100 DM,unemployed,3,female:divorced/separated/married,none,4,unknown / no property,38,none,for free,1,management/ highly qualified employee,1,yes,yes,Bad Risk
382,no checking account,22,existing credits paid back duly till now,car (new),1283,no savings account,4<= <7 years,4,female:divorced/separated/married,none,4,savings agreement/life insurance,25,none,rent,1,skilled employee / official,1,none,yes,Good Risk
383,>= 200 DM ,12,existing credits paid back duly till now,car (new),1330,<100 DM,<1 years,4,male:single,none,1,real estate,26,none,own,1,skilled employee / official,1,none,yes,Good Risk
384,no checking account,30,delay in paying off,business,4272,100 <= <500 DM,1<= < 4 years,2,male:single,none,2,savings agreement/life insurance,26,none,own,2,unskilled - resident,1,none,yes,Good Risk
385,no checking account,18,critical account,radio/television,2238,<100 DM,1<= < 4 years,2,female:divorced/separated/married,none,1,car or other,25,none,own,2,skilled employee / official,1,none,yes,Good Risk
386,no checking account,18,existing credits paid back duly till now,radio/television,1126,no savings account,<1 years,4,female:divorced/separated/married,none,2,real estate,21,none,rent,1,skilled employee / official,1,yes,yes,Good Risk
387,0 <= <200 DM,18,critical account,furniture/equipment,7374,<100 DM,unemployed,4,male:single,none,4,savings agreement/life insurance,40,store,own,2,management/ highly qualified employee,1,yes,yes,Good Risk
388,0 <= <200 DM,15,critical account,business,2326,500 <= < 1000 DM,1<= < 4 years,2,male:single,none,4,car or other,27,bank,own,1,skilled employee / official,1,none,yes,Good Risk
389,no checking account,9,existing credits paid back duly till now,business,1449,<100 DM,4<= <7 years,3,female:divorced/separated/married,none,2,car or other,27,none,own,2,skilled employee / official,1,none,yes,Good Risk
390,no checking account,18,existing credits paid back duly till now,car (new),1820,<100 DM,1<= < 4 years,2,male:married/widowed,none,2,savings agreement/life insurance,30,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
391,0 <= <200 DM,12,existing credits paid back duly till now,furniture/equipment,983,>= 1000 DM,<1 years,1,female:divorced/separated/married,none,4,real estate,19,none,rent,1,unskilled - resident,1,none,yes,Good Risk
392,<0 DM,36,existing credits paid back duly till now,car (new),3249,<100 DM,4<= <7 years,2,male:single,none,4,unknown / no property,39,bank,for free,1,management/ highly qualified employee,2,yes,yes,Good Risk
393,<0 DM,6,critical account,radio/television,1957,<100 DM,4<= <7 years,1,female:divorced/separated/married,none,4,car or other,31,none,own,1,skilled employee / official,1,none,yes,Good Risk
394,no checking account,9,critical account,furniture/equipment,2406,<100 DM,unemployed,2,male:single,none,3,car or other,31,none,own,1,management/ highly qualified employee,1,none,yes,Good Risk
395,0 <= <200 DM,39,delay in paying off,education,11760,100 <= <500 DM,4<= <7 years,2,male:single,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,yes,yes,Good Risk
396,<0 DM,12,existing credits paid back duly till now,furniture/equipment,2578,<100 DM,unemployed,3,female:divorced/separated/married,none,4,unknown / no property,55,none,for free,1,management/ highly qualified employee,1,none,yes,Good Risk
397,<0 DM,36,critical account,furniture/equipment,2348,<100 DM,1<= < 4 years,3,male:married/widowed,none,2,savings agreement/life insurance,46,none,own,2,skilled employee / official,1,yes,yes,Good Risk
398,0 <= <200 DM,12,existing credits paid back duly till now,car (new),1223,<100 DM,>=7 years,1,male:divorced/separated,none,1,real estate,46,none,rent,2,skilled employee / official,1,none,yes,Bad Risk
399,no checking account,24,critical account,radio/television,1516,>= 1000 DM,1<= < 4 years,4,female:divorced/separated/married,none,1,real estate,43,none,own,2,unskilled - resident,1,none,yes,Good Risk
400,no checking account,18,existing credits paid back duly till now,radio/television,1473,<100 DM,<1 years,3,male:married/widowed,none,4,real estate,39,none,own,1,skilled employee / official,1,yes,yes,Good Risk
401,0 <= <200 DM,18,critical account,business,1887,no savings account,1<= < 4 years,4,male:married/widowed,none,4,real estate,28,bank,own,2,skilled employee / official,1,none,yes,Good Risk
402,no checking account,24,delay in paying off,business,8648,<100 DM,<1 years,2,male:single,none,2,car or other,27,bank,own,2,skilled employee / official,1,yes,yes,Bad Risk
403,no checking account,14,delay in paying off,car (new),802,<100 DM,1<= < 4 years,4,male:single,none,2,car or other,27,none,own,2,unskilled - resident,1,none,yes,Good Risk
404,0 <= <200 DM,18,delay in paying off,car (new),2899,no savings account,>=7 years,4,male:single,none,4,car or other,43,none,own,1,skilled employee / official,2,none,yes,Good Risk
405,0 <= <200 DM,24,existing credits paid back duly till now,radio/television,2039,<100 DM,<1 years,1,male:married/widowed,none,1,savings agreement/life insurance,22,none,own,1,skilled employee / official,1,yes,yes,Bad Risk
406,no checking account,24,critical account,car (used),2197,no savings account,4<= <7 years,4,male:single,none,4,car or other,43,none,own,2,skilled employee / official,2,yes,yes,Good Risk
407,<0 DM,15,existing credits paid back duly till now,radio/television,1053,<100 DM,<1 years,4,male:married/widowed,none,2,real estate,27,none,own,1,skilled employee / official,1,none,no,Good Risk
408,no checking account,24,existing credits paid back duly till now,radio/television,3235,500 <= < 1000 DM,>=7 years,3,male:divorced/separated,none,2,car or other,26,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
409,>= 200 DM ,12,critical account,car (new),939,500 <= < 1000 DM,4<= <7 years,4,male:married/widowed,none,2,real estate,28,none,own,3,skilled employee / official,1,yes,yes,Bad Risk
410,0 <= <200 DM,24,existing credits paid back duly till now,radio/television,1967,<100 DM,>=7 years,4,female:divorced/separated/married,none,4,car or other,20,none,own,1,skilled employee / official,1,yes,yes,Good Risk
411,no checking account,33,critical account,car (used),7253,<100 DM,4<= <7 years,3,male:single,none,2,car or other,35,none,own,2,management/ highly qualified employee,1,yes,yes,Good Risk
412,no checking account,12,critical account,business,2292,<100 DM,unemployed,4,male:single,none,2,car or other,42,store,own,2,management/ highly qualified employee,1,yes,yes,Bad Risk
413,no checking account,10,existing credits paid back duly till now,car (new),1597,500 <= < 1000 DM,1<= < 4 years,3,male:single,none,2,unknown / no property,40,none,rent,1,unskilled - resident,2,none,no,Good Risk
414,<0 DM,24,existing credits paid back duly till now,car (new),1381,no savings account,1<= < 4 years,4,female:divorced/separated/married,none,2,savings agreement/life insurance,35,none,own,1,skilled employee / official,1,none,yes,Bad Risk
415,no checking account,36,critical account,car (used),5842,<100 DM,>=7 years,2,male:single,none,2,savings agreement/life insurance,35,none,own,2,skilled employee / official,2,yes,yes,Good Risk
416,<0 DM,12,existing credits paid back duly till now,car (new),2579,<100 DM,<1 years,4,male:single,none,1,real estate,33,none,own,1,unskilled - resident,2,none,yes,Bad Risk
417,<0 DM,18,delay in paying off,education,8471,no savings account,1<= < 4 years,1,female:divorced/separated/married,none,2,car or other,23,none,rent,2,skilled employee / official,1,yes,yes,Good Risk
418,no checking account,21,existing credits paid back duly till now,car (new),2782,500 <= < 1000 DM,4<= <7 years,1,female:divorced/separated/married,none,2,car or other,31,bank,own,1,management/ highly qualified employee,1,none,yes,Good Risk
419,0 <= <200 DM,18,existing credits paid back duly till now,car (new),1042,no savings account,1<= < 4 years,4,female:divorced/separated/married,none,2,savings agreement/life insurance,33,none,own,1,skilled employee / official,1,none,yes,Bad Risk
420,no checking account,15,existing credits paid back duly till now,car (new),3186,>= 1000 DM,4<= <7 years,2,female:divorced/separated/married,none,3,car or other,20,none,rent,1,skilled employee / official,1,none,yes,Good Risk
421,0 <= <200 DM,12,existing credits paid back duly till now,car (used),2028,no savings account,1<= < 4 years,4,male:single,none,2,car or other,30,none,own,1,skilled employee / official,1,none,yes,Good Risk
422,0 <= <200 DM,12,critical account,car (new),958,<100 DM,4<= <7 years,2,male:single,none,3,real estate,47,none,own,2,unskilled - resident,2,none,yes,Good Risk
423,no checking account,21,delay in paying off,furniture/equipment,1591,100 <= <500 DM,4<= <7 years,4,male:single,none,3,real estate,34,none,own,2,management/ highly qualified employee,1,none,yes,Good Risk
424,0 <= <200 DM,12,existing credits paid back duly till now,furniture/equipment,2762,no savings account,>=7 years,1,female:divorced/separated/married,none,2,savings agreement/life insurance,25,bank,own,1,skilled employee / official,1,yes,yes,Bad Risk
425,0 <= <200 DM,18,existing credits paid back duly till now,car (used),2779,<100 DM,1<= < 4 years,1,male:married/widowed,none,3,car or other,21,none,rent,1,skilled employee / official,1,yes,yes,Good Risk
426,no checking account,28,critical account,radio/television,2743,<100 DM,>=7 years,4,male:single,none,2,car or other,29,none,own,2,skilled employee / official,1,none,yes,Good Risk
427,no checking account,18,critical account,radio/television,1149,>= 1000 DM,1<= < 4 years,4,male:single,none,3,real estate,46,none,own,2,skilled employee / official,1,none,yes,Good Risk
428,no checking account,9,existing credits paid back duly till now,furniture/equipment,1313,<100 DM,>=7 years,1,male:single,none,4,car or other,20,none,own,1,skilled employee / official,1,none,yes,Good Risk
429,<0 DM,18,critical account,repairs,1190,<100 DM,unemployed,2,female:divorced/separated/married,none,4,unknown / no property,55,none,for free,3,unemployed/ unskilled  - non-resident,2,none,yes,Bad Risk
430,no checking account,5,existing credits paid back duly till now,business,3448,<100 DM,4<= <7 years,1,male:single,none,4,real estate,74,none,own,1,unskilled - resident,1,none,yes,Good Risk
431,0 <= <200 DM,24,existing credits paid back duly till now,others,11328,<100 DM,1<= < 4 years,2,male:single,co-applicant,3,car or other,29,bank,own,2,management/ highly qualified employee,1,yes,yes,Bad Risk
432,<0 DM,6,critical account,furniture/equipment,1872,<100 DM,unemployed,4,male:single,none,4,unknown / no property,36,none,for free,3,management/ highly qualified employee,1,yes,yes,Good Risk
433,no checking account,24,critical account,repairs,2058,<100 DM,1<= < 4 years,4,male:divorced/separated,none,2,real estate,33,none,own,2,skilled employee / official,1,yes,yes,Good Risk
434,<0 DM,9,existing credits paid back duly till now,furniture/equipment,2136,<100 DM,1<= < 4 years,3,male:single,none,2,real estate,25,none,own,1,skilled employee / official,1,none,yes,Good Risk
435,0 <= <200 DM,12,existing credits paid back duly till now,radio/television,1484,no savings account,1<= < 4 years,2,male:married/widowed,none,1,real estate,25,none,own,1,skilled employee / official,1,yes,yes,Bad Risk
436,no checking account,6,existing credits paid back duly till now,repairs,660,500 <= < 1000 DM,4<= <7 years,2,male:married/widowed,none,4,real estate,23,none,rent,1,unskilled - resident,1,none,yes,Good Risk
437,no checking account,24,critical account,car (new),1287,>= 1000 DM,>=7 years,4,female:divorced/separated/married,none,4,real estate,37,none,own,2,skilled employee / official,1,yes,yes,Good Risk
438,<0 DM,42,critical account,repairs,3394,<100 DM,unemployed,4,male:single,co-applicant,4,car or other,65,none,own,2,unemployed/ unskilled  - non-resident,1,none,yes,Good Risk
439,>= 200 DM ,12,all credits at this bank paid back duly,business,609,<100 DM,<1 years,4,female:divorced/separated/married,none,1,real estate,26,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,Bad Risk
440,no checking account,12,existing credits paid back duly till now,car (new),1884,<100 DM,>=7 years,4,male:single,none,4,car or other,39,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
441,<0 DM,12,existing credits paid back duly till now,furniture/equipment,1620,<100 DM,1<= < 4 years,2,female:divorced/separated/married,co-applicant,3,savings agreement/life insurance,30,none,own,1,skilled employee / official,1,none,yes,Good Risk
442,0 <= <200 DM,20,delay in paying off,others,2629,<100 DM,1<= < 4 years,2,male:single,none,3,car or other,29,bank,own,2,skilled employee / official,1,yes,yes,Good Risk
443,no checking account,12,existing credits paid back duly till now,education,719,<100 DM,>=7 years,4,male:single,none,4,car or other,41,bank,own,1,unskilled - resident,2,none,yes,Bad Risk
444,0 <= <200 DM,48,critical account,furniture/equipment,5096,<100 DM,1<= < 4 years,2,female:divorced/separated/married,none,3,car or other,30,none,own,1,management/ highly qualified employee,1,yes,yes,Bad Risk
445,no checking account,9,critical account,education,1244,no savings account,>=7 years,4,female:divorced/separated/married,none,4,savings agreement/life insurance,41,none,rent,2,unskilled - resident,1,none,yes,Good Risk
446,<0 DM,36,existing credits paid back duly till now,car (new),1842,<100 DM,<1 years,4,female:divorced/separated/married,none,4,car or other,34,none,own,1,skilled employee / official,1,yes,yes,Bad Risk
447,0 <= <200 DM,7,existing credits paid back duly till now,radio/television,2576,<100 DM,1<= < 4 years,2,male:single,guarantor,2,real estate,35,none,own,1,skilled employee / official,1,none,yes,Good Risk
